,FB_int,essai,num_sujet,MoyenneBeta,MoyenneERD,MedianeERD,MedianeBeta,StdDevBeta,mvtMoyCond,mvtMedianCond,StdDevMvt
218,2,4,17,11.20875,1.24541666666667,1.22444444444444,11.02,2.6846418034634,0.0471875,0,0.119737195422901
219,2,4,18,51.3928125,4.39254807692308,2.71068376068376,31.715,99.813468521469,0,0,0
220,2,4,19,21.9659375,0.976263888888889,0.892666666666667,20.085,8.2596070590653,0.2928125,0.215,0.304919178873946
221,2,4,20,15.3415625,1.00271650326797,0.97875816993464,14.975,2.70504440292099,0.1384375,0.045,0.182776249162916
222,2,4,21,29.4284375,2.04364149305556,1.66006944444444,23.905,22.2743341538186,0.18,0,0.316390938249583
223,2,4,22,35.660625,1.41510416666667,1.26785714285714,31.95,14.704935080639,0.074375,0,0.157990148733312
224,2,4,23,12.2303125,0.849327256944444,0.647916666666667,9.33,8.26788871297632,0.585,0.705,0.309307238424734
225,2,4,24,3.1596875,0.585127314814815,0.55,2.97,0.902878852213404,0.7771875,0.9,0.276198086641664
226,2,5,0,23.2590625,1.08687207943925,0.957476635514019,20.49,10.8896341238265,0.229375,0.095,0.282750745128935
227,2,5,1,25.45,1.87961595273264,1.59010339734121,21.53,12.9837312595168,0.0053125,0,0.028282489168183
228,2,5,2,5.216875,2.41521990740741,2.30092592592593,4.97,1.95830643998921,0,0,0
229,2,5,3,63.32875,3.15068407960199,3.06069651741293,61.52,35.2417821809613,0.0409375,0,0.183379728977878
230,2,5,4,28.1525,2.84368686868687,2.52424242424242,24.99,10.1217708510562,0,0,0
231,2,5,5,26.5625,1.47569444444444,1.01555555555556,18.28,20.4198067982393,0.4521875,0.27,0.469397241322625
232,2,5,6,51.9065625,1.64782738095238,0.566984126984127,17.86,127.994125611405,0.700625,0.87,0.368185940927644
233,2,5,7,19.0115625,0.603541666666667,0.604126984126984,19.03,3.27629522220824,0.7784375,0.795,0.189108423841303
234,2,5,8,32.1109375,1.11496310763889,1.02517361111111,29.525,14.0473518017144,0.1859375,0,0.262775009552205
235,2,5,9,235.8503125,8.18924696180556,2.22135416666667,63.975,275.987302366687,0.1584375,0,0.314561747105295
236,2,5,10,35.4509375,1.12542658730159,1.10444444444444,34.79,9.90211458660676,0.1215625,0,0.206649295792686
237,2,5,11,57.2340625,1.98729383680556,1.91875,55.26,21.8232147567344,0.008125,0,0.0459619407771256
238,2,5,12,10.05,1.31372549019608,1.27581699346405,9.76,2.31622607398467,0.0321875,0,0.112098297158371
239,2,5,13,31.7284375,1.71876692849404,1.54604550379198,28.54,11.633046395832,0.020625,0,0.0796337381896927
240,2,5,14,12.271875,1.36354166666667,1.31222222222222,11.81,2.79130844275237,0.0046875,0,0.0150235030921982
241,2,5,15,45.053125,2.78105709876543,2.48703703703704,40.29,18.4602705808814,0,0,0
242,2,5,16,14.35875,1.06361111111111,1.0337037037037,13.955,3.86602717644771,0.1415625,0,0.248869824438659
243,2,5,17,12.63875,1.40430555555556,1.33,11.97,4.56225167242894,0.0409375,0,0.112260048763516
244,2,5,18,36.396875,3.11084401709402,2.14401709401709,25.085,24.2693540243259,0,0,0
